kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
16	23	5000000	4	21	171	623067136	1968
16	24	5000000	4	21	178	1201881088	3785
16	25	5000000	4	21	183	-1985789952	7454
16	16	5000000	4	21	279	56655872	252
16	17	5000000	4	21	236	60387328	283
16	18	5000000	4	21	201	74149888	319
16	19	5000000	4	21	177	91086848	375
16	20	5000000	4	21	167	127836160	470
16	21	5000000	4	21	166	195248128	681
16	22	5000000	4	21	166	346243072	1157
16	23	5000000	4	21	172	656621568	2166
16	24	5000000	4	21	178	1210269696	3853
16	25	5000000	4	21	183	-2002567168	7451
16	16	5000000	4	21	279	56655872	259
16	17	5000000	4	21	236	60387328	284
16	18	5000000	4	21	201	74149888	318
16	19	5000000	4	21	177	91086848	369
16	20	5000000	4	21	167	127836160	473
16	21	5000000	4	21	166	195248128	682
16	22	5000000	4	21	166	346243072	1161
16	23	5000000	4	21	172	656621568	2166
16	24	5000000	4	21	178	1210269696	3809
16	25	5000000	4	21	183	-1985789952	7423
16	16	5000000	4	21	279	56655872	253
16	17	5000000	4	21	236	60387328	276
16	18	5000000	4	21	201	74149888	317
16	19	5000000	4	21	177	91086848	369
16	20	5000000	4	21	167	127836160	472
16	21	5000000	4	21	166	195248128	682
16	22	5000000	4	21	166	346243072	1161
16	23	5000000	4	21	172	656621568	2173
16	24	5000000	4	21	178	1201881088	3798
16	25	5000000	4	21	183	-1985789952	7439
16	16	5000000	4	21	279	56655872	253
16	17	5000000	4	21	236	60387328	278
16	18	5000000	4	21	201	74149888	318
16	19	5000000	4	21	177	91086848	368
16	20	5000000	4	21	167	127836160	473
16	21	5000000	4	21	166	195248128	680
16	22	5000000	4	21	166	346243072	1163
16	23	5000000	4	21	172	656621568	2166
16	24	5000000	4	21	178	1201881088	3784
16	25	5000000	4	21	183	-1985789952	7427
16	16	5000000	4	21	279	56655872	255
16	17	5000000	4	21	236	60387328	279
16	18	5000000	4	21	201	74149888	316
16	19	5000000	4	21	177	91086848	367
16	20	5000000	4	21	167	127836160	477
16	21	5000000	4	21	165	195248128	692
16	22	5000000	4	21	166	346243072	1193
16	23	5000000	4	21	172	656621568	2165
16	24	5000000	4	21	178	1201881088	3791
16	25	5000000	4	21	183	-2002567168	7434
16	16	5000000	4	21	280	56655872	254
16	17	5000000	4	21	236	60387328	277
16	18	5000000	4	21	201	74149888	320
16	19	5000000	4	21	177	91086848	372
16	20	5000000	4	21	167	127836160	470
16	21	5000000	4	21	166	195248128	681
16	22	5000000	4	21	166	346243072	1160
16	23	5000000	4	21	172	656621568	2173
16	24	5000000	4	21	178	1201881088	3801
16	25	5000000	4	21	182	-1985789952	7396
16	16	5000000	4	21	279	56655872	252
16	17	5000000	4	21	236	60387328	275
16	18	5000000	4	21	201	74149888	320
16	19	5000000	4	21	177	91086848	370
16	20	5000000	4	21	167	127836160	470
16	21	5000000	4	21	166	195248128	686
16	22	5000000	4	21	166	346243072	1158
16	23	5000000	4	21	172	656621568	2176
16	24	5000000	4	21	178	1201881088	3797
16	25	5000000	4	21	182	-1985789952	7375
16	16	5000000	4	21	279	56655872	251
16	17	5000000	4	21	236	60387328	282
16	18	5000000	4	21	201	74149888	320
16	19	5000000	4	21	177	91086848	370
16	20	5000000	4	21	167	127836160	473
16	21	5000000	4	21	165	195248128	689
16	22	5000000	4	21	166	346243072	1156
16	23	5000000	4	21	172	656621568	2173
16	24	5000000	4	21	178	1201881088	3812
16	25	5000000	4	21	183	-1985789952	7418
16	16	5000000	4	21	279	56655872	254
16	17	5000000	4	21	236	60387328	278
16	18	5000000	4	21	201	74149888	323
16	19	5000000	4	21	177	91086848	369
16	20	5000000	4	21	167	127836160	470
16	21	5000000	4	21	165	195248128	691
16	22	5000000	4	21	166	346243072	1161
16	23	5000000	4	21	171	623067136	1975
16	24	5000000	4	21	178	1201881088	3795
16	25	5000000	4	21	183	-2002567168	7419
16	16	5000000	4	21	280	56655872	251
16	17	5000000	4	21	236	60387328	278
16	18	5000000	4	21	201	74149888	322
16	19	5000000	4	21	177	91086848	370
16	20	5000000	4	21	167	127836160	477
16	21	5000000	4	21	165	195248128	695
16	22	5000000	4	21	166	346243072	1156
16	23	5000000	4	21	172	656621568	2172
16	24	5000000	4	21	178	1201881088	3801
16	25	5000000	4	21	183	-1985789952	7428
