kStretchTreeDepth	kLongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
21	17	5000000	4	17	4167	195248128	17006
21	17	5000000	4	17	4182	203636736	16769
21	17	5000000	4	17	4152	203636736	16988
21	17	5000000	4	17	4180	203636736	16946
21	17	5000000	4	17	4151	195248128	17244
21	17	5000000	4	17	4168	195248128	17580
21	17	5000000	4	17	4151	195248128	17591
21	17	5000000	4	17	4150	195248128	17933
21	17	5000000	4	17	4150	195248128	17905
21	17	5000000	4	17	4174	203636736	17758
21	17	5000000	4	17	4149	195248128	17237
21	17	5000000	4	17	4150	195248128	17702
21	17	5000000	4	17	4166	195248128	17099
21	17	5000000	4	17	4150	195248128	17916
21	17	5000000	4	17	4166	195248128	17487
21	17	5000000	4	17	4151	195248128	17802
21	17	5000000	4	17	4152	195248128	17093
21	17	5000000	4	17	4168	203636736	16746
21	17	5000000	4	17	4171	195248128	17563
21	17	5000000	4	17	4150	195248128	17906
21	17	5000000	4	17	4167	195248128	17893
21	17	5000000	4	17	4168	195248128	17793
21	17	5000000	4	17	4168	195248128	17438
21	17	5000000	4	17	4167	195248128	17619
21	17	5000000	4	17	4168	195248128	17156
21	17	5000000	4	17	4151	203636736	16963
21	17	5000000	4	17	4218	195248128	17295
21	18	5000000	4	17	2676	203636736	21096
21	18	5000000	4	17	2675	212025344	19009
21	18	5000000	4	17	2675	203636736	21003
21	18	5000000	4	17	2675	212025344	19042
21	18	5000000	4	17	2676	203636736	20335
21	18	5000000	4	17	2678	203636736	20912
21	18	5000000	4	17	2678	212025344	19399
21	18	5000000	4	17	2680	203636736	20830
21	18	5000000	4	17	2679	203636736	21012
21	18	5000000	4	17	2677	212025344	19349
21	18	5000000	4	17	2676	212025344	19764
21	18	5000000	4	17	2678	203636736	20879
21	18	5000000	4	17	2677	203636736	20907
21	18	5000000	4	17	2676	203636736	20516
21	18	5000000	4	17	2677	212025344	18629
21	18	5000000	4	17	2676	203636736	20737
21	18	5000000	4	17	2689	203636736	19164
21	18	5000000	4	17	2678	203636736	21204
21	18	5000000	4	17	2678	203636736	21244
21	18	5000000	4	17	2677	212025344	19669
21	18	5000000	4	17	2676	203636736	21189
21	18	5000000	4	17	2655	212025344	19695
21	18	5000000	4	17	2677	203636736	21180
21	18	5000000	4	17	2676	212025344	19623
21	18	5000000	4	17	2675	203636736	21169
21	18	5000000	4	17	2678	203636736	21113
21	18	5000000	4	17	2677	203636736	21073
21	18	5000000	4	17	2676	212025344	19566
21	18	5000000	4	17	2676	203636736	21154
21	18	5000000	4	17	2676	212025344	19717
21	19	5000000	4	17	1590	220413952	23707
21	19	5000000	4	17	1614	203636736	21653
21	19	5000000	4	17	1590	220413952	23330
21	19	5000000	4	17	1593	212025344	22245
21	19	5000000	4	17	1590	220413952	23086
21	19	5000000	4	17	1591	220413952	23051
21	19	5000000	4	17	1590	220413952	23128
21	19	5000000	4	17	1602	203636736	22370
21	19	5000000	4	17	1592	220413952	23218
21	19	5000000	4	17	1589	220413952	23191
21	19	5000000	4	17	1592	212025344	22050
21	19	5000000	4	17	1593	212025344	22085
21	19	5000000	4	17	1600	203636736	22595
21	19	5000000	4	17	1600	203636736	22431
21	19	5000000	4	17	1593	212025344	21600
21	19	5000000	4	17	1591	220413952	23451
21	19	5000000	4	17	1593	212025344	22413
21	19	5000000	4	17	1593	212025344	21201
21	19	5000000	4	17	1589	220413952	21374
21	19	5000000	4	17	1591	220413952	22421
21	19	5000000	4	17	1593	212025344	21360
21	19	5000000	4	17	1602	203636736	22308
21	19	5000000	4	17	1591	220413952	22594
21	19	5000000	4	17	1600	203636736	22336
21	19	5000000	4	17	1593	212025344	21967
21	19	5000000	4	17	1593	212025344	21961
21	19	5000000	4	17	1601	203636736	22492
21	19	5000000	4	17	1590	220413952	22796
21	19	5000000	4	17	1602	203636736	22565
21	19	5000000	4	17	1602	203636736	21941
21	16	5000000	4	18	6184	195248128	16579
21	16	5000000	4	18	6200	195248128	16360
21	16	5000000	4	18	6176	195248128	16461
21	16	5000000	4	18	6215	195248128	16095
21	16	5000000	4	18	6182	195248128	16081
21	16	5000000	4	18	6214	195248128	16790
21	16	5000000	4	18	6196	195248128	16702
21	16	5000000	4	18	6202	195248128	16368
