kStretchTreeDepth	kLongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
21	17	5000000	4	14	3731	203636736	11096
21	17	5000000	4	14	3730	203636736	11146
21	17	5000000	4	14	3730	203636736	11114
21	17	5000000	4	14	3732	203636736	10971
21	17	5000000	4	14	3731	203636736	11105
21	17	5000000	4	14	3731	203636736	11093
21	17	5000000	4	14	3731	203636736	11063
21	18	5000000	4	14	2386	203636736	8870
21	18	5000000	4	14	2387	203636736	8829
21	18	5000000	4	14	2386	203636736	8804
21	18	5000000	4	14	2387	203636736	8807
21	18	5000000	4	14	2387	203636736	8749
21	18	5000000	4	14	2386	203636736	8863
21	18	5000000	4	14	2386	203636736	8843
21	18	5000000	4	14	2387	203636736	8830
21	18	5000000	4	14	2387	203636736	8902
21	18	5000000	4	14	2386	203636736	8773
21	18	5000000	4	14	2386	203636736	8805
21	18	5000000	4	14	2386	203636736	8916
21	18	5000000	4	14	2387	203636736	8823
21	18	5000000	4	14	2387	203636736	8788
21	18	5000000	4	14	2387	203636736	8827
21	18	5000000	4	14	2387	203636736	8857
21	18	5000000	4	14	2387	203636736	8835
21	18	5000000	4	14	2387	203636736	8785
21	18	5000000	4	14	2386	203636736	8815
21	18	5000000	4	14	2387	203636736	8888
21	18	5000000	4	14	2386	203636736	8778
21	18	5000000	4	14	2386	203636736	8864
21	18	5000000	4	14	2387	203636736	8827
21	18	5000000	4	14	2387	203636736	8840
21	18	5000000	4	14	2387	203636736	8784
21	18	5000000	4	14	2387	203636736	8838
21	18	5000000	4	14	2387	203636736	8809
21	18	5000000	4	14	2386	203636736	8866
21	18	5000000	4	14	2386	203636736	8837
21	18	5000000	4	14	2386	203636736	8897
21	19	5000000	4	14	1431	203636736	7601
21	19	5000000	4	14	1431	203636736	7619
21	19	5000000	4	14	1431	203636736	7627
21	19	5000000	4	14	1431	203636736	7564
21	19	5000000	4	14	1431	203636736	7604
21	19	5000000	4	14	1431	203636736	7627
21	19	5000000	4	14	1431	203636736	7564
21	19	5000000	4	14	1431	203636736	7562
21	19	5000000	4	14	1431	203636736	7606
21	19	5000000	4	14	1431	203636736	7604
21	19	5000000	4	14	1431	203636736	7606
21	19	5000000	4	14	1431	203636736	7593
21	19	5000000	4	14	1431	203636736	7595
21	19	5000000	4	14	1432	203636736	7610
21	19	5000000	4	14	1431	203636736	7592
21	19	5000000	4	14	1431	203636736	7613
21	19	5000000	4	14	1431	203636736	7608
21	19	5000000	4	14	1431	203636736	7604
21	19	5000000	4	14	1431	203636736	7588
21	19	5000000	4	14	1431	203636736	7441
21	19	5000000	4	14	1432	203636736	7653
21	19	5000000	4	14	1431	203636736	7569
21	19	5000000	4	14	1432	203636736	7648
21	19	5000000	4	14	1431	203636736	7597
21	19	5000000	4	14	1431	203636736	7617
21	19	5000000	4	14	1431	203636736	7582
21	19	5000000	4	14	1431	203636736	7619
21	19	5000000	4	14	1431	203636736	7557
21	19	5000000	4	14	1431	203636736	7605
21	19	5000000	4	14	1431	203636736	7587
21	16	5000000	4	15	5283	195248128	13657
21	16	5000000	4	15	5293	195248128	13755
21	16	5000000	4	15	5282	195248128	13674
21	16	5000000	4	15	5281	195248128	13655
21	16	5000000	4	15	5285	195248128	13712
21	16	5000000	4	15	5284	195248128	13674
21	16	5000000	4	15	5286	195248128	13643
21	16	5000000	4	15	5284	195248128	13565
21	16	5000000	4	15	5291	195248128	13725
21	16	5000000	4	15	5286	195248128	13753
21	16	5000000	4	15	5284	195248128	13767
21	16	5000000	4	15	5293	195248128	13712
21	16	5000000	4	15	5286	195248128	13707
21	16	5000000	4	15	5291	195248128	13747
21	16	5000000	4	15	5284	195248128	13683
21	16	5000000	4	15	5282	195248128	13655
21	16	5000000	4	15	5288	195248128	13714
21	16	5000000	4	15	5287	195248128	13678
21	16	5000000	4	15	5284	195248128	13733
21	16	5000000	4	15	5283	195248128	13685
21	16	5000000	4	15	5287	195248128	13632
21	16	5000000	4	15	5285	195248128	13626
21	16	5000000	4	15	5283	195248128	13676
21	16	5000000	4	15	5284	195248128	13658
21	16	5000000	4	15	5282	195248128	13606
